candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,has_twitter,num_endorsements
Travis Schooley,TravisSchooley,,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,4.51,No,,,,,,,,,,No,,No,,,False,0
Doug Mastriano,dougmastriano,,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,15.6,No,,,,,,,,,,No,,No,,,False,0
Bernard Washabaugh II,,,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,2.84,No,,,,,,,,,,No,,No,,,True,0
Benjamin Hornberger,BHornberger2018,,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,1.77,No,,,,,,,,,,No,,No,,,False,0
Guy Reschenthaler,reschenthaler,GReschenthaler,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/18,Advanced,None,On the Ballot,55.19,Yes,,,,,,,,,,No,,Yes,,,False,1
Rick Saccone,RickSaccone4PA,,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/18,Lost,None,None,44.81,No,,,,,,,,Yes,,Yes,,No,,,False,2
Dan David,DanDavidPA,,PA,U.S. House Pennsylvania District 4,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,False,0
Pearl Kim,PearlKimPA,,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,False,0
Greg McCauley,McCauley4PA,GregMcCauleyUSA,PA,U.S. House Pennsylvania District 6,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,False,0
Marty Nothstein,Marty_Nothstein,,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Advanced,None,On the Ballot,50.49,Yes,Yes,,,,,,,,,,,,,,False,1
Dean Browning,DeanBrowningPA,,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,None,None,49.51,No,No,,,,,,,,,,,,,,False,0
John Chrin,JohnChrin,,PA,U.S. House Pennsylvania District 8,Representative,Regular,5/15/18,Advanced,None,On the Ballot,48.47,Yes,Yes,,,,,,,,,,,,,,False,1
Robert Kuniegel,robertjkuniegel,,PA,U.S. House Pennsylvania District 8,Representative,Regular,5/15/18,Lost,None,None,16.66,No,No,,,,,,,,,,,,,,False,0
Joe Peters,,,PA,U.S. House Pennsylvania District 8,Representative,Regular,5/15/18,Lost,None,None,34.87,No,No,,,,,,,,,,,,,,True,0
Dan Meuser,Meuser4Congress,RepMeuser,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Advanced,None,On the Ballot,52.94,Yes,Yes,,,,,,,,,,,,,Yes,False,2
Scott Uehlinger,Scottforpa,,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Lost,None,None,23.1,No,No,,,,,,,,,,,,,No,False,0
George Halcovage,GeorgeHalcovage,geohalco,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Lost,None,None,23.97,No,No,,,,,,,,,,,,,No,False,0
Lou Barletta,louforsenate,reploubarletta,PA,U.S. Senate Pennsylvania,Senator,Regular,5/15/18,Advanced,None,On the Ballot,63.03,Yes,,,,,,,,,Yes,,,,,,False,1
Jim Christiana,repchristiana,,PA,U.S. Senate Pennsylvania,Senator,Regular,5/15/18,Lost,None,None,36.97,No,,,,,,,,,No,,,,,,False,0
Giovanni Feroce,giovanniferoce,,RI,Governor of Rhode Island,Governor,Regular,9/12/18,Lost,None,None,3.5,No,,,,,,,No,,,,,,,,False,0
Allan Fung,mayorfung,allanfungri,RI,Governor of Rhode Island,Governor,Regular,9/12/18,Advanced,None,On the Ballot,56.4,Yes,,,,,,,No,,,,,,,,False,0
Patricia Morgan,repmorgan,patriciaforri,RI,Governor of Rhode Island,Governor,Regular,9/12/18,Lost,None,None,40.1,No,,,,,,,Yes,,,,,,,,False,1
Frederick Wysocki,,,RI,U.S. House Rhode Island District 1,Representative,Regular,9/12/18,Lost,None,None,21.6,No,,,,,,,,,,,,,,,True,0
Patrick Donovan,,,RI,U.S. House Rhode Island District 1,Representative,Regular,9/12/18,Advanced,None,On the Ballot,78.4,Yes,,,,,,,,,,,,,,,True,0
Roque De La Fuente,joinrocky,,RI,U.S. Senate Rhode Island,Senator,Regular,9/12/18,Lost,None,None,12.3,No,,,,,,,,,,,,,,,False,0
Robert Flanders Jr.,flanders4senate,rgflandersjr,RI,U.S. Senate Rhode Island,Senator,Regular,9/12/18,Advanced,None,On the Ballot,87.7,Yes,,,,,,,,,,,,,,,False,0
Lee Bright,leebright,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,Lost,None,24.95,No,,,,,,,,No,,,,,,,False,0
William Timmons,votetimmons,reptimmons,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,Advanced,On the Ballot,19.21,Yes,,,,,,,,No,,,,,,,False,0
Dan Hamilton,dphamilton,RepDanHamilton,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,18.62,No,,,,,,,,No,,,,,,,False,0
Stephen Brown,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,7.57,No,,,,,,,,No,,,,,,,True,0
Mark Burns,pastormarkburns,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,2.48,No,,,,,,,,No,,,,,,,False,0
Barry Bell,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.3,No,,,,,,,,No,,,,,,,True,0
Josh Kimbrell,Josh_Kimbrell,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,11.13,No,,,,,,,,Yes,,,,,,,False,1
James Epley,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,8.03,No,,,,,,,,No,,,,,,,True,0
Shannon Pierce,ShannonPierceSC,dshannonpierce,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,3.64,No,,,,,,,,No,,,,,,,False,0
Claude Schmid,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,2.11,No,,,,,,,,No,,,,,,,True,0
Dan Albert,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.76,No,,,,,,,,No,,,,,,,True,0
John Marshall Mosser,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.68,No,,,,,,,,No,,,,,,,True,0
Justin David Sanders,JSandersSC04,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.53,No,,,,,,,,No,,,,,,,False,0
Kristi L. Noem,KristiNoem,,SD,Governor of South Dakota,Governor,Regular,6/5/18,Advanced,None,On the Ballot,56.03,Yes,,,,,,,Yes,,,,,,,,False,1
Marty J. Jackley,martyjackley,,SD,Governor of South Dakota,Governor,Regular,6/5/18,Lost,None,None,43.96,No,,,,,,,No,,,,,,,,False,0
Dusty Johnson,DustyJohnson,,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Advanced,None,On the Ballot,46.81,Yes,Yes,,,,,,No,,Yes,,,No,,,False,2
Neal Tapio,,,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Lost,None,None,23.87,No,No,,,,,,No,,No,,,No,,,True,0
Shantel Krebs,,,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Lost,None,None,29.34,No,Yes,,,,,,Yes,,No,,,Yes,,No,True,3
Diane Black,RepDianeBlack,DianeBlackTN,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,23.0,No,,,,,Yes,Yes,Yes,,,,,,,,False,3
Randy Boyd,randyboyd,,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,24.4,No,,,,,No,No,No,,,,,,,,False,0
Beth Harwell,BethHarwellTN,,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,15.3,No,,,,,No,No,No,,,,,,,,False,0
Bill Lee,BillLeeTN,,TN,Governor of Tennessee,Governor,Regular,8/2/18,Advanced,None,On the Ballot,36.8,Yes,,,,,No,No,No,,,,,,,,False,0
Basil Marceaux,Marceaux2018,,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,0.2,No,,,,,No,No,No,,,,,,,,False,0
Kay White,kaywhite4tngov,,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,0.4,No,,,,,No,No,No,,,,,,,,False,0
Jason Emert,JasonEmert,,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,2.3,No,,,,,,,,,No,,,No,,,False,0
Jimmy Matlock,JimmyMatlockTN,,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,36.1,No,,,,,,,,,Yes,,,No,,,False,1
Tim Burchett,timburchett,,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Advanced,None,On the Ballot,48.2,Yes,,,,,,,,,No,,,No,,,False,0
Vito Sagliano,VitoForCongress,,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,0.8,No,,,,,,,,,No,,,No,,,False,0
Hank Hamblin,,,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,0.9,No,,,,,,,,,No,,,No,,,True,0
Ashley Nickloes,Ashley_Nickloes,,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,11.0,No,,,,,,,,,No,,,Yes,,,False,1
C. David Stansberry,,,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,0.7,No,,,,,,,,,No,,,No,,,True,0
Glen Dean,GlenDean1,,TN,U.S. House Tennessee District 5,Representative,Regular,8/2/18,Lost,None,None,44.1,No,,,,,,,,,,,,,,,False,0
Jody Ball,jballcampaign,,TN,U.S. House Tennessee District 5,Representative,Regular,8/2/18,Advanced,None,On the Ballot,55.9,Yes,,,,,,,,,,,,,,,False,0
Judd Matheny,judd4congress,,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,15.9,No,,,,,,No,,,,Yes,,,,,False,1
Robert Ewing Corlew,BobCorlewTN,,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,31.1,No,,,,,,Yes,,,,No,,,,,False,1
John Rose,JohnRoseforTN,RepJohnRose,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Advanced,None,On the Ballot,41.3,Yes,,,,,,No,,,,No,,,,,False,0
Christopher Monday,Monday4Congress,,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,2.8,No,,,,,,No,,,,No,,,,,False,0
"LaVern ""U-Turn LaVern"" Vivio",,,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,8.8,No,,,,,,No,,,,No,,,,,True,0
Mark Green,RepMarkGreen,drmarkgreen4TN,TN,U.S. House Tennessee District 7,Representative,Regular,8/2/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,Yes,,Yes,,,,,False,2
Marsha Blackburn,MarshaBlackburn,VoteMarsha,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Advanced,None,On the Ballot,84.5,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,False,6
Aaron Pettigrew,alpettigrew1,,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Lost,None,None,15.5,No,,No,No,No,,,No,No,No,,,,,,False,0
Rick Seeberger,SEEBERGER4USC,,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Advanced,None,On the Ballot,69.35,Yes,,,,,,,,,,,,,,,False,0
Alia Garcia-Ureste,AliaUreste,,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,30.65,No,,,,,,,,,,,,,,,False,0
Kevin Roberts,RobertsForTexas,,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Advanced,Lost,None,33.03,No,,,,,Yes,,,,,,No,,,,False,1
Daniel Crenshaw,dancrenshawtx,repdancrenshaw,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,27.42,Yes,,,,,No,,,,,,Yes,,,,False,1
David Balat,DavidBalatCD2,DavidBalatHC,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,0.75,No,,,,,No,,No,,,,No,,,,False,0
Malcolm Whittaker,,,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,0.7,No,,,,,No,,No,,,,No,,,,True,0
Rick Walker,RickWalkerTX,,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,7.18,No,,,,,No,,No,,,,No,,,,False,0
Kathaleen Wall,WallforTX,,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,27.08,No,,,,,No,,Yes,,,,No,,,,False,1
Justin Lurie,LurieforHouston,,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,0.92,No,,,,,No,,No,,,,No,,,,False,0
Jon Spiers,drjonspiers,,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,0.9,No,,,,,No,,No,,,,No,,,,False,0
Jonny Havens,Havens4Congress,,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,2.02,No,,,,,No,,No,,,,No,,,,False,0
Matt McCall,VoteMattMcCall,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,Lost,None,16.93,No,,,,,,No,,No,,No,No,,,No,False,0
Chip Roy,chiproytx,RepChipRoy,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,27.06,Yes,,,,,,Yes,,Yes,,Yes,Yes,,,No,False,4
Francisco Canseco,QuicoCanseco,cansecotx23,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,3.47,No,,,,,,No,,No,,No,No,,,No,False,0
Jason Isaac,ISAACforTexas,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,10.04,No,,,,,,No,,No,,No,No,,,No,False,0
Susan Narvaiz,susannarvaiz,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,3.79,No,,,,,,No,,No,,No,No,,,No,False,0
Eric Burkhart,EBforCongress,mukhabaratbaby,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.01,No,,,,,,No,,No,,No,No,,,No,False,0
Autry Pruitt,Autry,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,0.63,No,,,,,,No,,No,,No,No,,,No,False,0
Robert Stovall,RobertStovall_,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,4.76,No,,,,,,No,,No,,No,No,,,No,False,0
Ivan Andarza,Andarzalaw,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,0.13,No,,,,,,No,,No,,No,No,,,No,False,0
Ryan Krause,,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,3.2,No,,,,,,No,,No,,No,No,,,No,True,0
Jenifer Sarver,utsarver,sarverfortexas,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,5.61,No,,,,,,No,,No,,No,No,,,No,False,0
Mauro Garza,,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,0.92,No,,,,,,No,,No,,No,No,,,No,True,0
Foster Hagen,,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,0.55,No,,,,,,No,,No,,No,No,,,No,True,0
William Negley,wwnegley,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,15.55,No,,,,,,No,,No,,No,No,,,Yes,False,1
Al Poteet,Poteet4Congress,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.81,No,,,,,,No,,No,,No,No,,,No,False,0
Samuel Temple,samuelrtemple,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.42,No,,,,,,No,,No,,No,No,,,No,False,0
Peggy Wardlaw,,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.79,No,,,,,,No,,No,,No,No,,,No,True,0
Anthony White,TonyWhiteUSMC,,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.33,No,,,,,,No,,No,,No,No,,,No,False,0
Michael Cloud,MichaelJCloud,,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,33.83,Yes,,,,,,,,Yes,No,Yes,Yes,,,,False,3
Bech Bruun,bechforcongress,,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,Lost,None,36.09,No,,,,,,,,No,Yes,No,No,,,,False,1
Chris Mapp,ckmappforuscon1,c_mapp,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,None,None,12.14,No,,,,,,,,No,No,No,No,,,,False,0
John Grunwald,,,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,None,None,6.86,No,,,,,,,,No,No,No,No,,,,True,0
Eddie Gassman,,,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,None,None,2.8,No,,,,,,,,No,No,No,No,,,,True,0
Jerry Hall,,,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,None,None,8.27,No,,,,,,,,No,No,No,No,,,,True,0
Phillip Aronoff,Aronoff4USRep,,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,38.6,Yes,,,,,,,,,,,,,,,False,0
Carmen Maria Montiel,CarmenMaMontiel,Carmen4Congress,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Advanced,Lost,None,23.58,No,,,,,,,,,,,,,,,False,0
Robert Schafranek,,,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,16.73,No,,,,,,,,,,,,,,,True,0
Jaimy Blanco,blanco4congress,,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,21.08,No,,,,,,,,,,,,,,,False,0
Van Taylor,vantaylortx,,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Advanced,None,On the Ballot,84.68,Yes,,,,,,,,Yes,,,,,,,False,1
David Niederkorn,DC4TX3,,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,None,None,9.39,No,,,,,,,,No,,,,,,,False,0
Alex Donkervoet,AlexDonkervoet,,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,None,None,5.93,No,,,,,,,,No,,,,,,,False,0
David Smalling,SmallingforCD35,,TX,U.S. House Texas District 35,Representative,Regular,3/6/18,Advanced,None,On the Ballot,53.3,Yes,,,,,,,,,,,,,,,False,0
SK Alexander,SKforCongress,,TX,U.S. House Texas District 35,Representative,Regular,3/6/18,Lost,None,None,46.7,No,,,,,,,,,,,,,,,False,0
Lance Gooden,Lancegooden,RepLanceGooden,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,29.97,Yes,,,,,,No,No,No,No,,No,,,,False,0
Bunni Pounds,bunnipounds,,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Advanced,Lost,None,21.95,No,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,False,5
Charles Lingerfelt,ClingerUSA,,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,1.75,No,,,,,,No,No,No,No,,No,,,,False,0
Kenneth Sheets,KennethFSheets,,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,11.99,No,,,,,,No,No,No,No,,No,,,,False,0
Sam Deen,samdeentx,,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,17.16,No,,,,,,No,No,No,No,,No,,,,False,0
Danny Campbell,DannyCCampbell,,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,3.02,No,,,,,,No,No,No,No,,No,,,,False,0
David Williams,,,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,2.73,No,,,,,,No,No,No,No,,No,,,,True,0
Jason Wright,JasonWrightTX,,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,11.42,No,,,,,,No,No,No,No,,No,,,,False,0
Jake Ellzey,JakeEllzey,,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,Lost,None,21.76,No,,,,,,No,,No,,,No,,,,False,0
Ronald Wright,ron4congress,,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,45.15,Yes,,,,,,Yes,,Yes,,,Yes,,,,False,3
Ken Cope,CopeTexas,,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,7.7,No,,,,,,No,,No,,,No,,,,False,0
Deborah Gagliardi,DrgCongress,,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,3.65,No,,,,,,No,,No,,,No,,,,False,0
Shawn Dandridge,ShawnDandridge,,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,1.13,No,,,,,,No,,No,,,No,,,,False,0
Mark Mitchell,MitchellMonte,,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,4.68,No,,,,,,No,,No,,,No,,,,False,0
Troy Ratterree,,,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,4.04,No,,,,,,No,,No,,,No,,,,True,0
Mel Hassell,,,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,0.58,No,,,,,,No,,No,,,No,,,,True,0
Kevin Harrison,,,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,3.85,No,,,,,,No,,No,,,No,,,,True,0
Thomas Dillingham,tdilling,,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,1.18,No,,,,,,No,,No,,,No,,,,False,0
Shannon Dubberly,Dubberly4TX6,,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,6.28,No,,,,,,No,,No,,,No,,,,False,0
Mitt Romney,Romney4Utah,MittRomney,UT,U.S. Senate Utah,Senator,Regular,6/26/18,Advanced,None,On the Ballot,71.27,Yes,,Yes,,,,,,,,,,,,,False,1
Mike Kennedy,KennedyForUtah,,UT,U.S. Senate Utah,Senator,Regular,6/26/18,Lost,None,None,28.73,No,,No,,,,,,,,,,,,,False,0
Brooke Paige,,,VT,U.S. House Vermont At-large District,Representative,Regular,8/14/18,Advanced,None,On the Ballot,63.3,Yes,,,,,,,,,,,,,,,True,0
Anya Tynio,AnyaTynio,,VT,U.S. House Vermont At-large District,Representative,Regular,8/14/18,Lost,None,None,36.7,No,,,,,,,,,,,,,,,False,0
Roque De La Fuente,JoinRocky,,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,None,None,4.2,No,,,,,,,,,,,,,,,False,0
Brooke Paige,,,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Advanced,None,On the Ballot,39.6,Yes,,,,,,,,,,,,,,,True,0
Jasdeep Pannu,votepannu2018,,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,None,None,18.3,No,,,,,,,,,,,,,,,False,0
Lawrence Zupan,ZupanForSenate,,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,None,None,4.2,No,,,,,,,,,,,,,,,False,0
Ryan McAdams,RyanMcAdams4VA,,VA,U.S. House Virginia District 4,Representative,Regular,6/12/18,Advanced,None,On the Ballot,72.57,Yes,,,,,,,,,,,,,,,False,0
Shion Fenty,ShiFenty,,VA,U.S. House Virginia District 4,Representative,Regular,6/12/18,Lost,None,None,27.43,No,,,,,,,,,,,,,,,False,0
Denver Riggleman,Denver4VA,RepRiggleman,VA,U.S. House Virginia District 5,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,Yes,,,,,,,False,1
Ben Cline,Cline4Virginia,RepBenCline,VA,U.S. House Virginia District 6,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,Yes,,,,,,,,,,False,1
Corey Stewart,coreystewartva,,VA,U.S. Senate Virginia,Senator,Regular,6/12/18,Advanced,None,On the Ballot,44.87,Yes,,,,,,,,,,,,,,,False,0
E.W. Jackson,ewjacksonsr,,VA,U.S. Senate Virginia,Senator,Regular,6/12/18,Lost,None,None,11.99,No,,,,,,,,,,,,,,,False,0
Nick Freitas,NickForVA,NickFreitasVA,VA,U.S. Senate Virginia,Senator,Regular,6/12/18,Lost,None,None,43.14,No,,,,,,,,,,,,,,,False,0
Jeffrey Beeler,Beeler4Congress,,WA,U.S. House Washington District 1,Representative,Regular,8/7/18,Advanced,None,On the Ballot,69.19,Yes,,,,,,,,,,,,,,,False,0
Scott Stafne,scottstafne,,WA,U.S. House Washington District 1,Representative,Regular,8/7/18,Lost,None,None,30.81,No,,,,,,,,,,,,,,,False,0
Dino Rossi,dinorossiwa,,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,92.09,Yes,Yes,,,,,,,Yes,Yes,,Yes,Yes,,,False,5
Jack Hughes-Hageman,HagemanHughes,HughesHageman,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Lost,None,None,5.34,No,No,,,,,,,No,No,,No,No,,,False,0
Gordon Allen Pross,,,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Lost,None,None,2.57,No,No,,,,,,,No,No,,No,No,,,True,0
Joey Gibson,,,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,6.37,No,,,,,,No,,,,,,,,,True,0
Matthew Heines,Heinessight,,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,1.38,No,,,,,,No,,,,,,,,,False,0
Roque De La Fuente,JoinRocky,,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,0.83,No,,,,,,No,,,,,,,,,False,0
Dave Bryant,Bryant_Senate,,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,5.54,No,,,,,,No,,,,,,,,,False,0
Art Coday,ArtCoday,,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,4.98,No,,,,,,Yes,,,,,,,,,False,1
GoodSpaceGuy,,,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,1.11,No,,,,,,No,,,,,,,,,True,0
Matt Hawkins,HawkinsSenate,,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,2.21,No,,,,,,Yes,,,,,,,,,False,1
Susan Hutchison,Susan_Hutch,Susan4Senate,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Advanced,None,On the Ballot,67.31,Yes,,,,,,No,,,,,,,,,False,0
John Orlinski,JohnOrlinski,,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,1.11,No,,,,,,No,,,,,,,,,False,0
Tim Owen,,,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,3.88,No,,,,,,Yes,,,,,,,,,True,1
RC Smith,,,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,0.28,No,,,,,,No,,,,,,,,,True,0
Glen Stockwell,,,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,1.94,No,,,,,,No,,,,,,,,,True,0
Keith Swank,Swank4Senate,,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,6.4,No,,,,,,Yes,,,,,,,,,False,1
